"LOCATION","Country","VAR","Variable ","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015-Q4","Q4-2015","100HAB","Per 100 inhabitants","0","Units",,,28.171,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016","2016","100HAB","Per 100 inhabitants","0","Units",,,29.003,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016-Q2","Q2-2016","100HAB","Per 100 inhabitants","0","Units",,,28.941,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016-Q4","Q4-2016","100HAB","Per 100 inhabitants","0","Units",,,29.003,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2017","2017","100HAB","Per 100 inhabitants","0","Units",,,29.62,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2017-Q2","Q2-2017","100HAB","Per 100 inhabitants","0","Units",,,29.803,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2017-Q4","Q4-2017","100HAB","Per 100 inhabitants","0","Units",,,29.62,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2018","2018","100HAB","Per 100 inhabitants","0","Units",,,30.07,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2018-Q2","Q2-2018","100HAB","Per 100 inhabitants","0","Units",,,30.207,,
"CZE","Czech Republic","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2018-Q4","Q4-2018","100HAB","Per 100 inhabitants","0","Units",,,30.07,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2009","2009","100HAB","Per 100 inhabitants","0","Units",,,36.597,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010","2010","100HAB","Per 100 inhabitants","0","Units",,,38.052,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010-Q2","Q2-2010","100HAB","Per 100 inhabitants","0","Units",,,37.177,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010-Q4","Q4-2010","100HAB","Per 100 inhabitants","0","Units",,,38.052,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011","2011","100HAB","Per 100 inhabitants","0","Units",,,38.478,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011-Q2","Q2-2011","100HAB","Per 100 inhabitants","0","Units",,,37.905,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011-Q4","Q4-2011","100HAB","Per 100 inhabitants","0","Units",,,38.478,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012","2012","100HAB","Per 100 inhabitants","0","Units",,,38.959,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012-Q2","Q2-2012","100HAB","Per 100 inhabitants","0","Units",,,38.414,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012-Q4","Q4-2012","100HAB","Per 100 inhabitants","0","Units",,,38.959,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013","2013","100HAB","Per 100 inhabitants","0","Units",,,40.485,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013-Q2","Q2-2013","100HAB","Per 100 inhabitants","0","Units",,,39.792,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013-Q4","Q4-2013","100HAB","Per 100 inhabitants","0","Units",,,40.485,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014","2014","100HAB","Per 100 inhabitants","0","Units",,,41.498,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014-Q2","Q2-2014","100HAB","Per 100 inhabitants","0","Units",,,41.119,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014-Q4","Q4-2014","100HAB","Per 100 inhabitants","0","Units",,,41.498,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015","2015","100HAB","Per 100 inhabitants","0","Units",,,42.326,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015-Q2","Q2-2015","100HAB","Per 100 inhabitants","0","Units",,,42.046,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015-Q4","Q4-2015","100HAB","Per 100 inhabitants","0","Units",,,42.326,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016","2016","100HAB","Per 100 inhabitants","0","Units",,,42.44,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016-Q2","Q2-2016","100HAB","Per 100 inhabitants","0","Units",,,42.838,,
"DNK","Denmark","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016-Q4","Q4-2016","100HAB","Per 100 inhabitants","0","Units",,,42.44,,
